[multivariate-tuning] Using device: cuda
[multivariate-tuning] Learning rate: 0.0001
[multivariate-tuning] Coefficient type: fourier
[multivariate-tuning] Scheduler: cosine-warm-restarts
[multivariate-tuning] Fourier M: 10, alpha: 1.0, beta: 1.0
Saved interpolant trajectories to results_coefficient_tuning/fourier_M10/multivariate_trajectories.png
Epoch 1/250 | v_loss=-306.0973 | grad_v=4052.9338 | E[|v|^2]=662.4391 | time=7.9s
Epoch 2/250 | v_loss=-383.2310 | grad_v=1532.1953 | E[|v|^2]=717.2785 | time=7.6s
Epoch 3/250 | v_loss=-490.7892 | grad_v=1690.9753 | E[|v|^2]=768.8151 | time=7.6s
Epoch 4/250 | v_loss=-335.1071 | grad_v=3147.8467 | E[|v|^2]=751.1597 | time=7.6s
Epoch 5/250 | v_loss=-411.8146 | grad_v=3157.7741 | E[|v|^2]=780.6263 | time=7.6s
Epoch 6/250 | v_loss=-374.0718 | grad_v=1435.8269 | E[|v|^2]=804.3440 | time=7.6s
Epoch 7/250 | v_loss=-321.9721 | grad_v=1634.6127 | E[|v|^2]=778.8963 | time=7.6s
Epoch 8/250 | v_loss=-345.5678 | grad_v=2421.8292 | E[|v|^2]=720.3979 | time=7.6s
Epoch 9/250 | v_loss=-392.5995 | grad_v=2074.0260 | E[|v|^2]=768.8151 | time=7.6s
Epoch 10/250 | v_loss=-384.7975 | grad_v=4859.2488 | E[|v|^2]=800.8699 | time=7.6s
Epoch 11/250 | v_loss=-364.9072 | grad_v=1799.5500 | E[|v|^2]=788.7591 | time=7.1s
Epoch 12/250 | v_loss=-278.6953 | grad_v=2057.5998 | E[|v|^2]=801.2295 | time=7.1s
Epoch 13/250 | v_loss=-317.8938 | grad_v=739.0473 | E[|v|^2]=803.1623 | time=7.1s
Epoch 14/250 | v_loss=-440.8086 | grad_v=6405.4816 | E[|v|^2]=810.3909 | time=7.1s
Epoch 15/250 | v_loss=-379.1581 | grad_v=1575.1101 | E[|v|^2]=774.7080 | time=7.1s
Epoch 16/250 | v_loss=-342.5711 | grad_v=506.2556 | E[|v|^2]=772.1172 | time=7.1s
Epoch 17/250 | v_loss=-350.2897 | grad_v=915.0355 | E[|v|^2]=761.1053 | time=7.1s
Epoch 18/250 | v_loss=-442.4576 | grad_v=1155.5690 | E[|v|^2]=808.0431 | time=7.1s
Epoch 19/250 | v_loss=-402.0197 | grad_v=617.2175 | E[|v|^2]=795.0949 | time=7.1s
Epoch 20/250 | v_loss=-416.4299 | grad_v=1223.8654 | E[|v|^2]=759.0447 | time=7.1s
Epoch 21/250 | v_loss=-396.9569 | grad_v=1258.7341 | E[|v|^2]=812.2093 | time=7.1s
Epoch 22/250 | v_loss=-423.9281 | grad_v=1439.7665 | E[|v|^2]=847.4453 | time=7.2s
Epoch 23/250 | v_loss=-439.1371 | grad_v=2118.3682 | E[|v|^2]=807.7395 | time=7.6s
Epoch 24/250 | v_loss=-436.3142 | grad_v=2050.8603 | E[|v|^2]=778.9490 | time=7.6s
Epoch 25/250 | v_loss=-294.5160 | grad_v=474.8388 | E[|v|^2]=785.3291 | time=7.6s
Epoch 26/250 | v_loss=-364.4022 | grad_v=1486.3816 | E[|v|^2]=809.6361 | time=7.6s
Epoch 27/250 | v_loss=-408.0435 | grad_v=819.5785 | E[|v|^2]=826.2348 | time=7.6s
Epoch 28/250 | v_loss=-491.0103 | grad_v=1945.9737 | E[|v|^2]=819.0013 | time=7.6s
Epoch 29/250 | v_loss=-388.6538 | grad_v=1794.3992 | E[|v|^2]=736.3402 | time=7.6s
Epoch 30/250 | v_loss=-285.1830 | grad_v=635.0313 | E[|v|^2]=807.0713 | time=7.6s
Epoch 31/250 | v_loss=-373.2877 | grad_v=420.7110 | E[|v|^2]=770.1619 | time=7.1s
Epoch 32/250 | v_loss=-416.7005 | grad_v=489.5816 | E[|v|^2]=790.7588 | time=7.1s
Epoch 33/250 | v_loss=-384.1083 | grad_v=1106.6695 | E[|v|^2]=794.9758 | time=7.1s
Epoch 34/250 | v_loss=-369.2383 | grad_v=1571.7278 | E[|v|^2]=781.7940 | time=7.1s
Epoch 35/250 | v_loss=-486.4797 | grad_v=1181.4262 | E[|v|^2]=798.7602 | time=7.1s
Epoch 36/250 | v_loss=-359.6736 | grad_v=993.8819 | E[|v|^2]=796.9703 | time=7.1s
Epoch 37/250 | v_loss=-344.0811 | grad_v=620.3748 | E[|v|^2]=782.5348 | time=7.1s
