[exponent-tuning] Using device: cuda
[exponent-tuning] Learning rate: 0.001
[exponent-tuning] Batch size: 1000
[exponent-tuning] Inner steps: 500
[exponent-tuning] Exponents p: [1.0, 10.0], q: [1.0, 10.0]
[exponent-tuning] Scheduler: cosine-warm-restarts
Starting training: poly_p1.0_p10.0
Exponents: p=[1.0, 10.0], q=[1.0, 10.0]
Using importance sampling with alpha=10.00
======================================================================
Epoch 1/250 | v_loss=-23.1210 | grad_v=89.5773 | E[|v|^2]=56.4751 | time=7.5s
Epoch 2/250 | v_loss=-6.7843 | grad_v=47.9273 | E[|v|^2]=17.6495 | time=6.8s
Epoch 3/250 | v_loss=-19.7178 | grad_v=176.1225 | E[|v|^2]=55.7037 | time=6.8s
Epoch 4/250 | v_loss=-22.8173 | grad_v=55.4546 | E[|v|^2]=49.0831 | time=6.8s
Epoch 5/250 | v_loss=-14.8041 | grad_v=189.2800 | E[|v|^2]=41.4903 | time=6.8s
Epoch 6/250 | v_loss=-11.3345 | grad_v=549.0193 | E[|v|^2]=58.3882 | time=6.8s
Epoch 7/250 | v_loss=-25.0165 | grad_v=36.6336 | E[|v|^2]=51.4974 | time=6.8s
Epoch 8/250 | v_loss=-24.1104 | grad_v=86.6133 | E[|v|^2]=43.7807 | time=6.8s
Epoch 9/250 | v_loss=-27.6420 | grad_v=91.3389 | E[|v|^2]=67.8157 | time=6.8s
Epoch 10/250 | v_loss=-23.7445 | grad_v=43.5204 | E[|v|^2]=51.8374 | time=6.8s
Epoch 11/250 | v_loss=-18.9481 | grad_v=134.2844 | E[|v|^2]=55.3181 | time=6.8s
Epoch 12/250 | v_loss=-63.3920 | grad_v=1699.7778 | E[|v|^2]=83.7279 | time=6.8s
Epoch 13/250 | v_loss=-24.3796 | grad_v=75.0948 | E[|v|^2]=53.5460 | time=6.8s
Epoch 14/250 | v_loss=-20.8747 | grad_v=84.3600 | E[|v|^2]=54.3988 | time=6.8s
Epoch 15/250 | v_loss=-26.5607 | grad_v=96.7643 | E[|v|^2]=60.5569 | time=6.8s
Epoch 16/250 | v_loss=-25.3016 | grad_v=99.9856 | E[|v|^2]=48.3723 | time=6.8s
Epoch 17/250 | v_loss=-22.2194 | grad_v=115.5851 | E[|v|^2]=50.9664 | time=6.8s
Epoch 18/250 | v_loss=-26.1104 | grad_v=95.8383 | E[|v|^2]=52.7398 | time=6.8s
Epoch 19/250 | v_loss=-14.7447 | grad_v=326.8171 | E[|v|^2]=46.8117 | time=6.8s
Epoch 20/250 | v_loss=-24.6478 | grad_v=95.1552 | E[|v|^2]=45.8250 | time=6.8s
Epoch 21/250 | v_loss=-21.3400 | grad_v=235.0506 | E[|v|^2]=49.5738 | time=6.8s
Epoch 22/250 | v_loss=-25.1139 | grad_v=218.3983 | E[|v|^2]=50.7024 | time=6.8s
Epoch 23/250 | v_loss=-30.3800 | grad_v=703.8581 | E[|v|^2]=57.8575 | time=6.8s
Epoch 24/250 | v_loss=-26.4596 | grad_v=80.8598 | E[|v|^2]=56.3444 | time=6.8s
Epoch 25/250 | v_loss=-24.5754 | grad_v=209.5113 | E[|v|^2]=61.0615 | time=6.8s
Epoch 26/250 | v_loss=-32.4073 | grad_v=145.0183 | E[|v|^2]=69.3980 | time=6.8s
Epoch 27/250 | v_loss=-25.0449 | grad_v=47.1552 | E[|v|^2]=52.9017 | time=6.8s
Epoch 28/250 | v_loss=-30.4462 | grad_v=134.1339 | E[|v|^2]=57.5557 | time=6.8s
Epoch 29/250 | v_loss=-24.9255 | grad_v=150.0124 | E[|v|^2]=60.1752 | time=6.8s
Epoch 30/250 | v_loss=-26.3759 | grad_v=73.8744 | E[|v|^2]=67.5438 | time=6.8s
Epoch 31/250 | v_loss=-25.9730 | grad_v=57.6807 | E[|v|^2]=54.7311 | time=6.8s
Epoch 32/250 | v_loss=-17.2323 | grad_v=279.9324 | E[|v|^2]=36.4356 | time=6.8s
Epoch 33/250 | v_loss=-22.9068 | grad_v=345.9104 | E[|v|^2]=53.9445 | time=6.8s
Epoch 34/250 | v_loss=-26.3146 | grad_v=88.1544 | E[|v|^2]=55.9510 | time=6.8s
Epoch 35/250 | v_loss=-25.9596 | grad_v=134.5429 | E[|v|^2]=56.1253 | time=6.8s
Epoch 36/250 | v_loss=-25.3723 | grad_v=33.3491 | E[|v|^2]=53.4210 | time=6.8s
Epoch 37/250 | v_loss=-28.8791 | grad_v=142.0665 | E[|v|^2]=48.6697 | time=6.8s
Epoch 38/250 | v_loss=-29.3003 | grad_v=98.4314 | E[|v|^2]=58.6952 | time=6.8s
Epoch 39/250 | v_loss=-25.7630 | grad_v=20.7377 | E[|v|^2]=54.1364 | time=6.8s
Epoch 40/250 | v_loss=-24.5497 | grad_v=50.8410 | E[|v|^2]=62.3372 | time=6.8s
Epoch 41/250 | v_loss=-32.7645 | grad_v=287.3320 | E[|v|^2]=52.0948 | time=6.8s
Epoch 42/250 | v_loss=-26.6782 | grad_v=37.2507 | E[|v|^2]=53.7650 | time=6.8s
Epoch 43/250 | v_loss=-27.9838 | grad_v=77.2819 | E[|v|^2]=58.3199 | time=6.8s
Epoch 44/250 | v_loss=-5.7410 | grad_v=692.5750 | E[|v|^2]=54.8454 | time=6.8s
Epoch 45/250 | v_loss=-25.9322 | grad_v=252.5495 | E[|v|^2]=55.2148 | time=6.8s
Epoch 46/250 | v_loss=-25.4309 | grad_v=35.7806 | E[|v|^2]=57.0831 | time=6.8s
Epoch 47/250 | v_loss=-26.6916 | grad_v=29.1089 | E[|v|^2]=56.3213 | time=6.8s
Epoch 48/250 | v_loss=-26.5975 | grad_v=34.9072 | E[|v|^2]=55.3466 | time=6.8s
Epoch 49/250 | v_loss=-24.6515 | grad_v=27.8840 | E[|v|^2]=56.3281 | time=6.8s
Epoch 50/250 | v_loss=-20.3785 | grad_v=137.5851 | E[|v|^2]=53.9820 | time=6.8s
Epoch 51/250 | v_loss=-31.1709 | grad_v=115.9588 | E[|v|^2]=52.2191 | time=6.8s
Epoch 52/250 | v_loss=-25.9699 | grad_v=78.7225 | E[|v|^2]=67.7875 | time=6.8s
Epoch 53/250 | v_loss=-27.3851 | grad_v=104.6984 | E[|v|^2]=52.2084 | time=6.8s
Epoch 54/250 | v_loss=-22.1198 | grad_v=21.9328 | E[|v|^2]=53.1663 | time=6.8s
