[multivariate-tuning] Using device: cuda
[multivariate-tuning] Learning rate: 1e-05
[multivariate-tuning] Exponents p: [1.0, 1.0], q: [1.0, 1.0]
Saved interpolant trajectories to results_multivariate_sweep/lr1e-5_p1.0_1.0_q1.0_1.0/multivariate_trajectories.png
Epoch 1/500 | v_loss=-10.5122 | grad_v=4.9022 | E[|v|^2]=19.8938 | time=4.0s
Epoch 2/500 | v_loss=-11.3290 | grad_v=8.4145 | E[|v|^2]=22.3011 | time=3.9s
Epoch 3/500 | v_loss=-11.5620 | grad_v=11.3258 | E[|v|^2]=23.0628 | time=3.9s
Epoch 4/500 | v_loss=-12.5758 | grad_v=9.0157 | E[|v|^2]=23.6352 | time=3.9s
Epoch 5/500 | v_loss=-11.6766 | grad_v=9.9239 | E[|v|^2]=23.0669 | time=3.9s
Epoch 6/500 | v_loss=-11.1796 | grad_v=17.0266 | E[|v|^2]=23.6605 | time=3.9s
Epoch 7/500 | v_loss=-12.6043 | grad_v=14.2534 | E[|v|^2]=23.5864 | time=3.9s
Epoch 8/500 | v_loss=-12.1664 | grad_v=15.6804 | E[|v|^2]=23.4780 | time=3.9s
Epoch 9/500 | v_loss=-11.6259 | grad_v=9.4579 | E[|v|^2]=23.9274 | time=3.9s
Epoch 10/500 | v_loss=-11.8746 | grad_v=11.9342 | E[|v|^2]=23.8288 | time=3.9s
Epoch 11/500 | v_loss=-12.0898 | grad_v=14.1706 | E[|v|^2]=24.2466 | time=3.9s
Epoch 12/500 | v_loss=-12.8988 | grad_v=10.5648 | E[|v|^2]=23.5957 | time=3.9s
Epoch 13/500 | v_loss=-11.1636 | grad_v=9.7485 | E[|v|^2]=24.1085 | time=3.9s
Epoch 14/500 | v_loss=-12.2185 | grad_v=8.2968 | E[|v|^2]=23.3875 | time=3.9s
Epoch 15/500 | v_loss=-11.0403 | grad_v=8.4653 | E[|v|^2]=24.0775 | time=3.9s
Epoch 16/500 | v_loss=-12.6582 | grad_v=12.9913 | E[|v|^2]=23.7126 | time=3.9s
Epoch 17/500 | v_loss=-11.7355 | grad_v=11.5407 | E[|v|^2]=24.3092 | time=3.9s
Epoch 18/500 | v_loss=-11.6810 | grad_v=7.8894 | E[|v|^2]=23.6665 | time=3.9s
Epoch 19/500 | v_loss=-11.3948 | grad_v=14.6730 | E[|v|^2]=24.4832 | time=3.9s
Epoch 20/500 | v_loss=-11.6784 | grad_v=9.5562 | E[|v|^2]=23.7870 | time=3.9s
Epoch 21/500 | v_loss=-11.7355 | grad_v=8.1756 | E[|v|^2]=24.1501 | time=3.9s
Epoch 22/500 | v_loss=-12.2272 | grad_v=11.1075 | E[|v|^2]=23.6098 | time=3.9s
Epoch 23/500 | v_loss=-11.9533 | grad_v=10.8091 | E[|v|^2]=24.2853 | time=3.9s
Epoch 24/500 | v_loss=-11.5227 | grad_v=8.0539 | E[|v|^2]=24.2588 | time=3.9s
Epoch 25/500 | v_loss=-11.7732 | grad_v=13.5715 | E[|v|^2]=23.2627 | time=3.9s
Epoch 26/500 | v_loss=-11.8982 | grad_v=10.6921 | E[|v|^2]=23.1801 | time=3.9s
Epoch 27/500 | v_loss=-13.7046 | grad_v=12.5337 | E[|v|^2]=24.2318 | time=3.9s
Epoch 28/500 | v_loss=-12.2968 | grad_v=10.8073 | E[|v|^2]=23.3834 | time=3.9s
Epoch 29/500 | v_loss=-12.0317 | grad_v=17.3931 | E[|v|^2]=23.6569 | time=3.9s
Epoch 30/500 | v_loss=-11.8147 | grad_v=13.1938 | E[|v|^2]=23.5300 | time=3.9s
Epoch 31/500 | v_loss=-11.8913 | grad_v=11.0481 | E[|v|^2]=24.4572 | time=3.9s
Epoch 32/500 | v_loss=-12.4834 | grad_v=8.1454 | E[|v|^2]=23.8641 | time=3.9s
Epoch 33/500 | v_loss=-12.7721 | grad_v=8.6769 | E[|v|^2]=24.1834 | time=3.9s
Epoch 34/500 | v_loss=-11.5582 | grad_v=8.0152 | E[|v|^2]=23.8262 | time=3.9s
Epoch 35/500 | v_loss=-12.0767 | grad_v=8.8797 | E[|v|^2]=24.3930 | time=3.9s
Epoch 36/500 | v_loss=-12.1093 | grad_v=11.7565 | E[|v|^2]=24.0934 | time=3.9s
Epoch 37/500 | v_loss=-11.6615 | grad_v=7.5553 | E[|v|^2]=24.1691 | time=3.9s
Epoch 38/500 | v_loss=-11.6893 | grad_v=9.5278 | E[|v|^2]=23.7964 | time=3.9s
Epoch 39/500 | v_loss=-13.2272 | grad_v=15.4923 | E[|v|^2]=23.6548 | time=3.9s
Epoch 40/500 | v_loss=-12.4721 | grad_v=14.0769 | E[|v|^2]=23.4129 | time=3.9s
Epoch 41/500 | v_loss=-12.8881 | grad_v=9.5419 | E[|v|^2]=23.9334 | time=3.9s
Epoch 42/500 | v_loss=-11.6817 | grad_v=12.5901 | E[|v|^2]=24.0611 | time=3.9s
Epoch 43/500 | v_loss=-11.8891 | grad_v=12.9133 | E[|v|^2]=23.8795 | time=3.9s
Epoch 44/500 | v_loss=-13.0605 | grad_v=9.2720 | E[|v|^2]=24.2273 | time=3.9s
Epoch 45/500 | v_loss=-11.6204 | grad_v=9.8226 | E[|v|^2]=24.0987 | time=3.9s
Epoch 46/500 | v_loss=-11.8158 | grad_v=12.5657 | E[|v|^2]=23.6818 | time=3.9s
Epoch 47/500 | v_loss=-11.8157 | grad_v=9.0966 | E[|v|^2]=23.7356 | time=3.9s
Epoch 48/500 | v_loss=-11.5827 | grad_v=9.5957 | E[|v|^2]=24.2066 | time=3.9s
Epoch 49/500 | v_loss=-11.0827 | grad_v=10.5916 | E[|v|^2]=23.8450 | time=3.9s
Epoch 50/500 | v_loss=-12.2711 | grad_v=7.2252 | E[|v|^2]=23.6890 | time=3.9s
Epoch 51/500 | v_loss=-13.1646 | grad_v=13.0482 | E[|v|^2]=24.4031 | time=3.9s
Epoch 52/500 | v_loss=-10.8347 | grad_v=8.8204 | E[|v|^2]=23.7262 | time=3.9s
Epoch 53/500 | v_loss=-13.4286 | grad_v=8.3899 | E[|v|^2]=23.2459 | time=3.9s
Epoch 54/500 | v_loss=-11.9972 | grad_v=13.1161 | E[|v|^2]=23.8484 | time=3.9s
Epoch 55/500 | v_loss=-11.7274 | grad_v=8.9719 | E[|v|^2]=23.7468 | time=3.9s
Epoch 56/500 | v_loss=-11.2332 | grad_v=11.4240 | E[|v|^2]=23.8885 | time=3.9s
Epoch 57/500 | v_loss=-11.9666 | grad_v=10.3999 | E[|v|^2]=23.8072 | time=3.9s
Epoch 58/500 | v_loss=-12.1214 | grad_v=7.9353 | E[|v|^2]=23.5984 | time=3.9s
Epoch 59/500 | v_loss=-13.1397 | grad_v=10.1219 | E[|v|^2]=24.1290 | time=3.9s
Epoch 60/500 | v_loss=-12.3125 | grad_v=13.4183 | E[|v|^2]=23.9990 | time=3.9s
Epoch 61/500 | v_loss=-11.5912 | grad_v=9.8041 | E[|v|^2]=24.2280 | time=3.9s
Epoch 62/500 | v_loss=-11.0605 | grad_v=10.8683 | E[|v|^2]=23.9263 | time=3.9s
Epoch 63/500 | v_loss=-11.6245 | grad_v=7.5128 | E[|v|^2]=23.6934 | time=3.9s
Epoch 64/500 | v_loss=-12.0366 | grad_v=7.0745 | E[|v|^2]=23.8445 | time=3.9s
Epoch 65/500 | v_loss=-11.4208 | grad_v=12.4018 | E[|v|^2]=23.8008 | time=3.9s
Epoch 66/500 | v_loss=-11.8317 | grad_v=7.2464 | E[|v|^2]=23.8943 | time=3.9s
Epoch 67/500 | v_loss=-12.4499 | grad_v=6.7693 | E[|v|^2]=23.8067 | time=3.9s
Epoch 68/500 | v_loss=-12.7611 | grad_v=9.9393 | E[|v|^2]=24.0349 | time=3.9s
Epoch 69/500 | v_loss=-12.1970 | grad_v=10.8167 | E[|v|^2]=23.7805 | time=3.9s
Epoch 70/500 | v_loss=-11.8139 | grad_v=10.8288 | E[|v|^2]=23.3960 | time=3.9s
Epoch 71/500 | v_loss=-11.7787 | grad_v=6.9314 | E[|v|^2]=23.7914 | time=3.9s
Epoch 72/500 | v_loss=-11.2435 | grad_v=13.7188 | E[|v|^2]=23.4051 | time=3.9s
Epoch 73/500 | v_loss=-12.2152 | grad_v=9.2697 | E[|v|^2]=23.9501 | time=3.9s
Epoch 74/500 | v_loss=-12.8588 | grad_v=6.8325 | E[|v|^2]=23.7815 | time=3.9s
Epoch 75/500 | v_loss=-11.4697 | grad_v=8.9851 | E[|v|^2]=23.8012 | time=3.9s
Epoch 76/500 | v_loss=-11.5972 | grad_v=10.1229 | E[|v|^2]=24.0373 | time=3.9s
Epoch 77/500 | v_loss=-11.1151 | grad_v=11.6664 | E[|v|^2]=24.0545 | time=3.9s
Epoch 78/500 | v_loss=-11.0980 | grad_v=10.9102 | E[|v|^2]=23.8788 | time=3.9s
Epoch 79/500 | v_loss=-12.6549 | grad_v=9.5108 | E[|v|^2]=23.7474 | time=3.9s
Epoch 80/500 | v_loss=-13.1271 | grad_v=10.9651 | E[|v|^2]=24.0811 | time=3.9s
Epoch 81/500 | v_loss=-12.3263 | grad_v=5.7072 | E[|v|^2]=23.8173 | time=3.9s
Epoch 82/500 | v_loss=-12.0030 | grad_v=9.8224 | E[|v|^2]=24.1898 | time=3.9s
Epoch 83/500 | v_loss=-12.0326 | grad_v=13.4863 | E[|v|^2]=24.2263 | time=3.9s
Epoch 84/500 | v_loss=-13.0794 | grad_v=12.3870 | E[|v|^2]=23.9153 | time=3.9s
Epoch 85/500 | v_loss=-11.5157 | grad_v=10.6160 | E[|v|^2]=24.0853 | time=3.9s
Epoch 86/500 | v_loss=-11.5945 | grad_v=10.8727 | E[|v|^2]=23.7073 | time=3.9s
Epoch 87/500 | v_loss=-12.2741 | grad_v=8.7919 | E[|v|^2]=23.7864 | time=3.9s
Epoch 88/500 | v_loss=-12.1267 | grad_v=10.4196 | E[|v|^2]=24.0087 | time=3.9s
Epoch 89/500 | v_loss=-11.6818 | grad_v=8.8773 | E[|v|^2]=23.7455 | time=3.9s
Epoch 90/500 | v_loss=-13.0806 | grad_v=8.2624 | E[|v|^2]=23.9779 | time=3.9s
Epoch 91/500 | v_loss=-12.2313 | grad_v=9.7376 | E[|v|^2]=23.7655 | time=3.9s
Epoch 92/500 | v_loss=-12.3835 | grad_v=7.7662 | E[|v|^2]=23.8331 | time=3.9s
Epoch 93/500 | v_loss=-12.6616 | grad_v=18.0545 | E[|v|^2]=24.1491 | time=3.9s
Epoch 94/500 | v_loss=-11.3729 | grad_v=11.9164 | E[|v|^2]=24.0816 | time=3.9s
Epoch 95/500 | v_loss=-10.5985 | grad_v=7.2349 | E[|v|^2]=23.9926 | time=3.9s
Epoch 96/500 | v_loss=-11.6492 | grad_v=10.4046 | E[|v|^2]=23.7495 | time=3.9s
Epoch 97/500 | v_loss=-12.8101 | grad_v=8.4139 | E[|v|^2]=23.9273 | time=3.9s
Epoch 98/500 | v_loss=-12.6082 | grad_v=7.3055 | E[|v|^2]=24.0583 | time=3.9s
Epoch 99/500 | v_loss=-12.9177 | grad_v=10.1549 | E[|v|^2]=23.9965 | time=3.9s
Epoch 100/500 | v_loss=-12.5389 | grad_v=13.3143 | E[|v|^2]=24.0305 | time=3.9s
Epoch 101/500 | v_loss=-12.6230 | grad_v=10.4327 | E[|v|^2]=23.9642 | time=3.9s
Epoch 102/500 | v_loss=-12.2345 | grad_v=14.8404 | E[|v|^2]=24.2629 | time=3.9s
Epoch 103/500 | v_loss=-11.4854 | grad_v=6.6573 | E[|v|^2]=23.7265 | time=3.9s
Epoch 104/500 | v_loss=-11.9531 | grad_v=8.4185 | E[|v|^2]=23.8234 | time=3.9s
Epoch 105/500 | v_loss=-11.2370 | grad_v=14.8492 | E[|v|^2]=23.7892 | time=3.9s
Epoch 106/500 | v_loss=-11.6330 | grad_v=9.4487 | E[|v|^2]=24.0967 | time=3.9s
Epoch 107/500 | v_loss=-11.9572 | grad_v=5.1255 | E[|v|^2]=23.8360 | time=3.9s
Epoch 108/500 | v_loss=-11.9387 | grad_v=11.5399 | E[|v|^2]=23.9526 | time=3.9s
Epoch 109/500 | v_loss=-10.8991 | grad_v=13.5896 | E[|v|^2]=23.7354 | time=3.9s
Epoch 110/500 | v_loss=-12.8904 | grad_v=9.3664 | E[|v|^2]=24.1766 | time=3.9s
Epoch 111/500 | v_loss=-12.4812 | grad_v=9.7718 | E[|v|^2]=24.0652 | time=3.9s
Epoch 112/500 | v_loss=-12.2388 | grad_v=9.8241 | E[|v|^2]=23.7366 | time=3.9s
Epoch 113/500 | v_loss=-11.4385 | grad_v=8.8842 | E[|v|^2]=24.0105 | time=3.9s
Epoch 114/500 | v_loss=-11.7904 | grad_v=11.2739 | E[|v|^2]=23.9723 | time=3.9s
Epoch 115/500 | v_loss=-11.4810 | grad_v=8.2578 | E[|v|^2]=23.6560 | time=3.9s
Epoch 116/500 | v_loss=-12.9236 | grad_v=9.9490 | E[|v|^2]=24.1044 | time=3.9s
Epoch 117/500 | v_loss=-11.7454 | grad_v=12.1260 | E[|v|^2]=24.3278 | time=3.9s
Epoch 118/500 | v_loss=-12.0511 | grad_v=9.2030 | E[|v|^2]=24.0082 | time=3.9s
Epoch 119/500 | v_loss=-12.1836 | grad_v=14.6836 | E[|v|^2]=24.0611 | time=3.9s
Epoch 120/500 | v_loss=-12.3201 | grad_v=9.9423 | E[|v|^2]=24.1316 | time=3.9s
Epoch 121/500 | v_loss=-12.9144 | grad_v=6.8967 | E[|v|^2]=24.1218 | time=3.9s
Epoch 122/500 | v_loss=-11.9966 | grad_v=10.1126 | E[|v|^2]=23.8864 | time=3.9s
Epoch 123/500 | v_loss=-12.1396 | grad_v=10.1622 | E[|v|^2]=24.0781 | time=3.9s
Epoch 124/500 | v_loss=-12.6952 | grad_v=10.8340 | E[|v|^2]=24.1338 | time=3.9s
Epoch 125/500 | v_loss=-11.7525 | grad_v=9.4650 | E[|v|^2]=23.8389 | time=3.9s
Epoch 126/500 | v_loss=-12.0258 | grad_v=10.4073 | E[|v|^2]=24.0618 | time=3.9s
Epoch 127/500 | v_loss=-11.7386 | grad_v=10.6307 | E[|v|^2]=23.7969 | time=3.9s
Epoch 128/500 | v_loss=-12.2567 | grad_v=7.1616 | E[|v|^2]=23.8411 | time=3.9s
Epoch 129/500 | v_loss=-13.3928 | grad_v=12.4496 | E[|v|^2]=23.7689 | time=3.9s
Epoch 130/500 | v_loss=-12.5588 | grad_v=10.0171 | E[|v|^2]=24.4528 | time=3.9s
Epoch 131/500 | v_loss=-12.3345 | grad_v=7.8887 | E[|v|^2]=23.9948 | time=3.9s
Epoch 132/500 | v_loss=-12.1452 | grad_v=7.6792 | E[|v|^2]=23.9927 | time=3.9s
Epoch 133/500 | v_loss=-12.1146 | grad_v=15.5198 | E[|v|^2]=23.9298 | time=3.9s
Epoch 134/500 | v_loss=-12.3723 | grad_v=11.9556 | E[|v|^2]=23.7096 | time=3.9s
Epoch 135/500 | v_loss=-12.5244 | grad_v=7.7489 | E[|v|^2]=24.2534 | time=3.9s
Epoch 136/500 | v_loss=-12.9054 | grad_v=15.5917 | E[|v|^2]=23.8512 | time=3.9s
Epoch 137/500 | v_loss=-10.9370 | grad_v=9.9300 | E[|v|^2]=23.8144 | time=3.9s
Epoch 138/500 | v_loss=-12.1765 | grad_v=11.6004 | E[|v|^2]=23.8506 | time=3.9s
Epoch 139/500 | v_loss=-11.1466 | grad_v=14.8132 | E[|v|^2]=23.7721 | time=3.9s
Epoch 140/500 | v_loss=-11.4005 | grad_v=5.4480 | E[|v|^2]=24.0550 | time=3.9s
Epoch 141/500 | v_loss=-11.9527 | grad_v=8.2624 | E[|v|^2]=24.0404 | time=3.9s
Epoch 142/500 | v_loss=-12.7244 | grad_v=10.4757 | E[|v|^2]=23.9768 | time=3.9s
Epoch 143/500 | v_loss=-11.5036 | grad_v=7.3695 | E[|v|^2]=23.5642 | time=3.9s
Epoch 144/500 | v_loss=-11.7406 | grad_v=6.3786 | E[|v|^2]=23.8093 | time=3.9s
Epoch 145/500 | v_loss=-12.1164 | grad_v=9.3614 | E[|v|^2]=23.9323 | time=3.9s
Epoch 146/500 | v_loss=-12.9708 | grad_v=8.1756 | E[|v|^2]=24.0374 | time=3.9s
Epoch 147/500 | v_loss=-12.1875 | grad_v=8.5671 | E[|v|^2]=23.7144 | time=3.9s
Epoch 148/500 | v_loss=-13.1985 | grad_v=11.1772 | E[|v|^2]=23.7680 | time=3.9s
Epoch 149/500 | v_loss=-12.5265 | grad_v=12.8414 | E[|v|^2]=23.9034 | time=3.9s
Epoch 150/500 | v_loss=-12.6219 | grad_v=8.0396 | E[|v|^2]=23.7385 | time=3.9s
Epoch 151/500 | v_loss=-11.9683 | grad_v=9.9060 | E[|v|^2]=24.0235 | time=3.9s
Epoch 152/500 | v_loss=-12.3256 | grad_v=9.9205 | E[|v|^2]=23.8833 | time=3.9s
Epoch 153/500 | v_loss=-11.1897 | grad_v=10.1182 | E[|v|^2]=23.7697 | time=3.9s
Epoch 154/500 | v_loss=-12.8940 | grad_v=12.1975 | E[|v|^2]=23.8287 | time=3.9s
Epoch 155/500 | v_loss=-12.5599 | grad_v=7.4524 | E[|v|^2]=24.1223 | time=3.9s
Epoch 156/500 | v_loss=-12.4482 | grad_v=13.0860 | E[|v|^2]=23.8496 | time=3.9s
Epoch 157/500 | v_loss=-10.4203 | grad_v=10.8592 | E[|v|^2]=23.7026 | time=3.9s
Epoch 158/500 | v_loss=-12.2702 | grad_v=10.2353 | E[|v|^2]=23.6579 | time=3.9s
Epoch 159/500 | v_loss=-12.2849 | grad_v=7.7064 | E[|v|^2]=24.0850 | time=3.9s
Epoch 160/500 | v_loss=-11.6920 | grad_v=9.7511 | E[|v|^2]=24.1248 | time=3.9s
Epoch 161/500 | v_loss=-11.2540 | grad_v=14.2027 | E[|v|^2]=23.8266 | time=3.9s
Epoch 162/500 | v_loss=-11.2454 | grad_v=11.7332 | E[|v|^2]=24.0249 | time=3.9s
Epoch 163/500 | v_loss=-13.1344 | grad_v=9.6748 | E[|v|^2]=23.9361 | time=3.9s
Epoch 164/500 | v_loss=-12.2042 | grad_v=10.4163 | E[|v|^2]=23.8997 | time=3.9s
Epoch 165/500 | v_loss=-11.5087 | grad_v=9.7631 | E[|v|^2]=23.8338 | time=3.9s
Epoch 166/500 | v_loss=-11.1092 | grad_v=8.4246 | E[|v|^2]=23.7463 | time=3.9s
Epoch 167/500 | v_loss=-12.1626 | grad_v=11.4770 | E[|v|^2]=24.0422 | time=3.9s
Epoch 168/500 | v_loss=-11.6072 | grad_v=8.9334 | E[|v|^2]=23.9622 | time=3.9s
Epoch 169/500 | v_loss=-11.5876 | grad_v=11.4721 | E[|v|^2]=23.8791 | time=3.9s
Epoch 170/500 | v_loss=-12.1486 | grad_v=7.5173 | E[|v|^2]=23.7109 | time=3.9s
Epoch 171/500 | v_loss=-11.6873 | grad_v=10.3606 | E[|v|^2]=23.8974 | time=3.9s
Epoch 172/500 | v_loss=-12.2594 | grad_v=12.6492 | E[|v|^2]=23.6929 | time=3.9s
Epoch 173/500 | v_loss=-12.5218 | grad_v=10.7507 | E[|v|^2]=24.0106 | time=3.9s
Epoch 174/500 | v_loss=-12.3335 | grad_v=22.9356 | E[|v|^2]=24.0039 | time=3.9s
Epoch 175/500 | v_loss=-13.0835 | grad_v=8.9864 | E[|v|^2]=23.9738 | time=3.9s
Epoch 176/500 | v_loss=-12.4268 | grad_v=7.4656 | E[|v|^2]=23.6973 | time=3.9s
