[multivariate-tuning] Using device: cuda
[multivariate-tuning] Learning rate: 0.0001
[multivariate-tuning] Exponents p: [1.0, 0.5], q: [1.0, 0.5]
Saved interpolant trajectories to results_multivariate_sweep/lr1e-4_p1.0_0.5_q1.0_0.5/multivariate_trajectories.png
Epoch 1/500 | v_loss=-12.5718 | grad_v=53.9227 | E[|v|^2]=25.5187 | time=4.0s
Epoch 2/500 | v_loss=-4.0281 | grad_v=344.2473 | E[|v|^2]=22.0217 | time=3.9s
Epoch 3/500 | v_loss=-12.4596 | grad_v=77.9013 | E[|v|^2]=25.8862 | time=3.9s
Epoch 4/500 | v_loss=-14.2445 | grad_v=52.7861 | E[|v|^2]=28.3678 | time=3.9s
Epoch 5/500 | v_loss=-11.1407 | grad_v=57.2832 | E[|v|^2]=21.9817 | time=3.9s
Epoch 6/500 | v_loss=-11.8608 | grad_v=26.0362 | E[|v|^2]=25.7859 | time=3.9s
Epoch 7/500 | v_loss=-14.2455 | grad_v=132.4345 | E[|v|^2]=29.1267 | time=3.9s
Epoch 8/500 | v_loss=-12.9839 | grad_v=33.4745 | E[|v|^2]=24.3311 | time=3.9s
Epoch 9/500 | v_loss=-12.4232 | grad_v=19.3858 | E[|v|^2]=25.5936 | time=3.9s
Epoch 10/500 | v_loss=-13.3928 | grad_v=47.3222 | E[|v|^2]=25.5273 | time=3.9s
Epoch 11/500 | v_loss=-13.3467 | grad_v=60.5357 | E[|v|^2]=29.1644 | time=3.9s
Epoch 12/500 | v_loss=-13.9311 | grad_v=46.4079 | E[|v|^2]=23.7316 | time=3.9s
Epoch 13/500 | v_loss=-12.1335 | grad_v=91.9508 | E[|v|^2]=26.7266 | time=3.9s
Epoch 14/500 | v_loss=-13.1392 | grad_v=40.8538 | E[|v|^2]=27.2781 | time=3.9s
Epoch 15/500 | v_loss=-12.0187 | grad_v=42.2237 | E[|v|^2]=23.6747 | time=3.9s
Epoch 16/500 | v_loss=-14.3856 | grad_v=60.0378 | E[|v|^2]=25.1949 | time=3.9s
Epoch 17/500 | v_loss=-12.2665 | grad_v=30.6263 | E[|v|^2]=25.5316 | time=3.9s
Epoch 18/500 | v_loss=-15.5246 | grad_v=168.0155 | E[|v|^2]=28.2281 | time=3.9s
Epoch 19/500 | v_loss=-11.7018 | grad_v=28.9553 | E[|v|^2]=26.0376 | time=3.9s
Epoch 20/500 | v_loss=-12.3221 | grad_v=32.2922 | E[|v|^2]=26.6736 | time=3.9s
Epoch 21/500 | v_loss=-12.1262 | grad_v=78.6408 | E[|v|^2]=25.5384 | time=3.9s
Epoch 22/500 | v_loss=-15.2375 | grad_v=107.1219 | E[|v|^2]=28.4111 | time=3.8s
Epoch 23/500 | v_loss=-13.9400 | grad_v=39.1159 | E[|v|^2]=25.3978 | time=3.7s
Epoch 24/500 | v_loss=-11.7428 | grad_v=101.2562 | E[|v|^2]=25.9071 | time=3.7s
Epoch 25/500 | v_loss=-11.9434 | grad_v=37.8021 | E[|v|^2]=24.8114 | time=3.7s
Epoch 26/500 | v_loss=-15.5159 | grad_v=127.0096 | E[|v|^2]=27.9386 | time=3.7s
Epoch 27/500 | v_loss=-16.2156 | grad_v=108.1810 | E[|v|^2]=28.6181 | time=3.7s
Epoch 28/500 | v_loss=-13.8000 | grad_v=72.5958 | E[|v|^2]=27.8319 | time=3.7s
Epoch 29/500 | v_loss=-14.2127 | grad_v=41.4600 | E[|v|^2]=26.3461 | time=3.7s
Epoch 30/500 | v_loss=-13.2807 | grad_v=46.0131 | E[|v|^2]=26.7068 | time=3.7s
Epoch 31/500 | v_loss=-13.9715 | grad_v=81.4981 | E[|v|^2]=29.2744 | time=3.7s
Epoch 32/500 | v_loss=-13.1622 | grad_v=62.2782 | E[|v|^2]=27.3932 | time=3.7s
Epoch 33/500 | v_loss=-15.1040 | grad_v=60.8116 | E[|v|^2]=26.4173 | time=3.7s
Epoch 34/500 | v_loss=-13.6128 | grad_v=39.8440 | E[|v|^2]=29.9334 | time=3.7s
Epoch 35/500 | v_loss=-14.3171 | grad_v=60.5318 | E[|v|^2]=28.0940 | time=3.7s
Epoch 36/500 | v_loss=-14.3815 | grad_v=80.6404 | E[|v|^2]=26.9609 | time=3.7s
Epoch 37/500 | v_loss=-11.9790 | grad_v=76.1057 | E[|v|^2]=27.6372 | time=3.7s
Epoch 38/500 | v_loss=-12.8939 | grad_v=49.5620 | E[|v|^2]=27.4760 | time=3.7s
Epoch 39/500 | v_loss=-13.2944 | grad_v=25.4899 | E[|v|^2]=25.1455 | time=3.7s
Epoch 40/500 | v_loss=-14.7090 | grad_v=69.2056 | E[|v|^2]=25.1570 | time=3.7s
Epoch 41/500 | v_loss=-15.1689 | grad_v=66.5073 | E[|v|^2]=26.0884 | time=3.7s
Epoch 42/500 | v_loss=-14.6004 | grad_v=81.6123 | E[|v|^2]=28.3976 | time=3.7s
Epoch 43/500 | v_loss=-12.1954 | grad_v=112.3039 | E[|v|^2]=25.4008 | time=3.7s
Epoch 44/500 | v_loss=-14.3652 | grad_v=38.8317 | E[|v|^2]=28.2322 | time=3.7s
Epoch 45/500 | v_loss=-11.1686 | grad_v=58.9926 | E[|v|^2]=24.8688 | time=3.7s
Epoch 46/500 | v_loss=-13.7083 | grad_v=122.2049 | E[|v|^2]=27.6703 | time=3.7s
