[multivariate-tuning] Using device: cuda
[multivariate-tuning] Learning rate: 0.0001
[multivariate-tuning] Exponents p: [1.0, 1.0], q: [1.0, 1.0]
Saved interpolant trajectories to results_multivariate_sweep/lr1e-4_p1.0_1.0_q1.0_1.0/multivariate_trajectories.png
Epoch 1/500 | v_loss=-12.2029 | grad_v=8.6396 | E[|v|^2]=24.1515 | time=4.0s
Epoch 2/500 | v_loss=-11.8612 | grad_v=8.3436 | E[|v|^2]=24.3592 | time=3.9s
Epoch 3/500 | v_loss=-11.7470 | grad_v=8.0731 | E[|v|^2]=23.7941 | time=3.9s
Epoch 4/500 | v_loss=-12.7472 | grad_v=5.2067 | E[|v|^2]=23.6544 | time=3.9s
Epoch 5/500 | v_loss=-11.6291 | grad_v=10.9821 | E[|v|^2]=23.5470 | time=3.9s
Epoch 6/500 | v_loss=-11.2035 | grad_v=7.8274 | E[|v|^2]=25.0152 | time=3.9s
Epoch 7/500 | v_loss=-12.6054 | grad_v=8.9333 | E[|v|^2]=23.4982 | time=3.9s
Epoch 8/500 | v_loss=-12.1973 | grad_v=11.4456 | E[|v|^2]=23.8062 | time=3.9s
Epoch 9/500 | v_loss=-11.6161 | grad_v=5.5673 | E[|v|^2]=24.0506 | time=3.9s
Epoch 10/500 | v_loss=-11.8529 | grad_v=6.3370 | E[|v|^2]=23.4983 | time=3.9s
Epoch 11/500 | v_loss=-12.2053 | grad_v=4.9726 | E[|v|^2]=24.4725 | time=3.9s
Epoch 12/500 | v_loss=-12.9047 | grad_v=5.0138 | E[|v|^2]=22.8813 | time=3.9s
Epoch 13/500 | v_loss=-11.2400 | grad_v=5.4263 | E[|v|^2]=23.8500 | time=3.9s
Epoch 14/500 | v_loss=-12.2070 | grad_v=9.3022 | E[|v|^2]=23.3881 | time=3.9s
Epoch 15/500 | v_loss=-11.0549 | grad_v=5.0940 | E[|v|^2]=23.7238 | time=3.9s
Epoch 16/500 | v_loss=-12.6233 | grad_v=8.1766 | E[|v|^2]=23.9592 | time=3.9s
Epoch 17/500 | v_loss=-11.8011 | grad_v=7.7925 | E[|v|^2]=24.5380 | time=3.9s
Epoch 18/500 | v_loss=-11.6551 | grad_v=6.8997 | E[|v|^2]=23.5337 | time=3.9s
Epoch 19/500 | v_loss=-11.3924 | grad_v=6.3605 | E[|v|^2]=24.0085 | time=3.9s
Epoch 20/500 | v_loss=-11.6469 | grad_v=4.2527 | E[|v|^2]=23.4031 | time=3.9s
Epoch 21/500 | v_loss=-11.6800 | grad_v=7.5913 | E[|v|^2]=24.7574 | time=3.9s
Epoch 22/500 | v_loss=-12.2891 | grad_v=5.7790 | E[|v|^2]=23.6166 | time=3.9s
Epoch 23/500 | v_loss=-11.9634 | grad_v=5.9307 | E[|v|^2]=24.0427 | time=3.9s
Epoch 24/500 | v_loss=-11.5955 | grad_v=3.8177 | E[|v|^2]=23.9192 | time=3.9s
Epoch 25/500 | v_loss=-11.8235 | grad_v=8.0288 | E[|v|^2]=23.0536 | time=3.9s
Epoch 26/500 | v_loss=-11.9401 | grad_v=5.0292 | E[|v|^2]=23.2548 | time=3.9s
Epoch 27/500 | v_loss=-13.7389 | grad_v=5.2134 | E[|v|^2]=24.0793 | time=3.9s
Epoch 28/500 | v_loss=-12.2785 | grad_v=8.7001 | E[|v|^2]=23.5440 | time=3.9s
Epoch 29/500 | v_loss=-12.0807 | grad_v=10.6171 | E[|v|^2]=23.5874 | time=3.9s
Epoch 30/500 | v_loss=-11.7858 | grad_v=7.8760 | E[|v|^2]=23.6982 | time=3.9s
Epoch 31/500 | v_loss=-11.9655 | grad_v=5.2963 | E[|v|^2]=24.8648 | time=3.9s
Epoch 32/500 | v_loss=-12.5086 | grad_v=6.7667 | E[|v|^2]=23.9026 | time=3.9s
